img_dir,length,area
./Images/Tin/242.b0.1.20250108_frame0000198_obj_8.png,0.48275862068965514,266
./Images/Tin/299.b0.1.20250108_frame0000587_obj_70.png,0.4301075268817205,116
./Images/Tin/299.b0.1.20250108_frame0000587_obj_51.png,0.352,149
./Images/Tin/242.b0.1.20250108_frame0000198_obj_11.png,0.4629629629629629,188
./Images/Tin/299.b1.1.20250108_frame0000951_obj_127.png,0.36923076923076925,217
./Images/Tin/299.b1.1.20250108_frame0000951_obj_3.png,0.528,309
./Images/Tin/299.b0.1.20250108_frame0000587_obj_49.png,0.39344262295081966,196
./Images/Tin/242.b0.1.20250108_frame0000198_obj_18.png,0.4603174603174603,302
./Images/Tin/299.b0.1.20250108_frame0000587_obj_9.png,0.20754716981132074,67
./Images/Tin/299.b0.1.20250108_frame0000587_obj_14.png,0.23300970873786406,64
./Images/Tin/299.b1.1.20250108_frame0000951_obj_80.png,0.6,321
./Images/Tin/299.b0.1.20250108_frame0000587_obj_43.png,0.24137931034482757,100
./Images/Tin/299.b1.1.20250108_frame0000951_obj_126.png,0.13592233009708737,60
./Images/Tin/299.b1.1.20250108_frame0000951_obj_29.png,0.4247787610619469,209
./Images/Tin/299.b1.1.20250108_frame0000951_obj_64.png,0.2096774193548387,97
./Images/Tin/242.b0.1.20250108_frame0000198_obj_33.png,0.380952380952381,190
./Images/Tin/242.b0.1.20250108_frame0000198_obj_19.png,0.5714285714285715,306
./Images/Tin/242.b0.1.20250108_frame0000198_obj_1.png,0.4793388429752066,309
./Images/Tin/299.b1.1.20250108_frame0000951_obj_30.png,0.21153846153846156,52
./Images/Tin/299.b1.1.20250108_frame0000951_obj_134.png,0.4466019417475728,147
./Images/Tin/299.b0.1.20250108_frame0000587_obj_12.png,0.42016806722689076,184
./Images/Tin/299.b1.1.20250108_frame0000951_obj_21.png,0.3963963963963964,172
./Images/Tin/242.b0.1.20250108_frame0000198_obj_49.png,0.5416666666666666,183
./Images/Tin/242.b0.1.20250108_frame0000198_obj_120.png,0.46808510638297873,198
./Images/Tin/299.b1.1.20250108_frame0000951_obj_145.png,0.46153846153846156,211
./Images/Tin/299.b0.1.20250108_frame0000587_obj_97.png,0.2222222222222222,62
./Images/Tin/299.b1.1.20250108_frame0000951_obj_23.png,0.3898305084745763,186
./Images/Tin/299.b1.1.20250108_frame0000951_obj_149.png,0.423728813559322,223
./Images/Tin/242.b0.1.20250108_frame0000198_obj_8.png,0.48275862068965514,266
./Images/Tin/299.b1.1.20250108_frame0000951_obj_179.png,0.38834951456310673,113
./Images/Tin/299.b1.1.20250108_frame0000951_obj_2.png,0.21818181818181817,60
./Images/Tin/299.b0.1.20250108_frame0000587_obj_3.png,0.1523809523809524,39
./Images/Tin/299.b1.1.20250108_frame0000951_obj_44.png,0.22608695652173913,118
./Images/Tin/242.b0.1.20250108_frame0000198_obj_117.png,0.28571428571428575,145
./Images/Tin/299.b0.1.20250108_frame0000587_obj_50.png,0.23931623931623935,108
./Images/Tin/299.b1.1.20250108_frame0000951_obj_118.png,0.25,121
./Images/Tin/242.b0.1.20250108_frame0000198_obj_132.png,0.3787878787878788,199
./Images/Tin/299.b1.1.20250108_frame0000951_obj_128.png,0.4909090909090909,284
./Images/Tin/299.b1.1.20250108_frame0000951_obj_162.png,0.56,246
./Images/Tin/242.b0.1.20250108_frame0000198_obj_35.png,0.38016528925619836,200
